epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.21112,4.18647,0.01053,0.05263,4.17708,3.969e-05,3.969e-05,3.969e-05
2,1.51373,4.1029,0.01053,0.05263,4.19271,8.00496e-05,8.00496e-05,8.00496e-05
3,1.77099,3.99539,0.03158,0.05263,4.26432,0.000119594,0.000119594,0.000119594
4,2.02574,3.88513,0.03158,0.04211,4.34245,0.000142634,0.000142634,0.000142634
5,2.28313,3.81303,0.03158,0.05263,4.41927,0.000141179,0.000141179,0.000141179
6,2.53717,3.70139,0.02105,0.05263,4.53255,0.000139723,0.000139723,0.000139723
7,2.86491,3.63861,0.02105,0.04211,4.63672,0.000138268,0.000138268,0.000138268
8,3.1198,3.50249,0.03158,0.07368,4.71615,0.000136813,0.000136813,0.000136813
9,3.39361,3.44785,0.01053,0.06316,4.8151,0.000135358,0.000135358,0.000135358
10,3.64653,3.27118,0.01053,0.07368,4.91406,0.000133902,0.000133902,0.000133902
11,3.89894,3.21566,0.01053,0.08421,4.94271,0.000132447,0.000132447,0.000132447
12,4.14956,3.12847,0.01053,0.08421,5.00521,0.000130992,0.000130992,0.000130992
13,4.39149,3.01811,0.01053,0.07368,5.05339,0.000129536,0.000129536,0.000129536
14,4.64912,2.96031,0.02105,0.07368,5.29036,0.000128081,0.000128081,0.000128081
15,4.89473,2.91551,0.01053,0.06316,5.36068,0.000126626,0.000126626,0.000126626
16,5.146,2.85204,0.02105,0.06316,5.41406,0.000125171,0.000125171,0.000125171
17,5.39103,2.7911,0.02105,0.03158,5.39193,0.000123715,0.000123715,0.000123715
18,5.65072,2.70985,0.02105,0.04211,5.55469,0.00012226,0.00012226,0.00012226
19,5.90707,2.66034,0.01053,0.05263,5.70703,0.000120805,0.000120805,0.000120805
20,6.16652,2.67309,0.02105,0.06316,5.85677,0.000119349,0.000119349,0.000119349
21,6.41194,2.60326,0.02105,0.06316,5.86589,0.000117894,0.000117894,0.000117894
22,6.65908,2.54381,0.02105,0.05263,5.97917,0.000116439,0.000116439,0.000116439
23,6.91063,2.48292,0.01053,0.04211,6.17708,0.000114983,0.000114983,0.000114983
24,7.16164,2.38207,0.02105,0.05263,6.01953,0.000113528,0.000113528,0.000113528
25,7.42269,2.43824,0.02105,0.05263,6.21745,0.000112073,0.000112073,0.000112073
26,7.67799,2.35283,0.01053,0.06316,6.23958,0.000110617,0.000110617,0.000110617
27,7.93541,2.26652,0.01053,0.07368,6.29297,0.000109162,0.000109162,0.000109162
28,8.18693,2.19264,0.02105,0.08421,6.28646,0.000107707,0.000107707,0.000107707
29,8.4415,2.15495,0.02105,0.05263,6.39583,0.000106252,0.000106252,0.000106252
30,8.696,2.10058,0.01053,0.07368,6.63672,0.000104796,0.000104796,0.000104796
31,8.94653,2.08703,0.01053,0.07368,6.57552,0.000103341,0.000103341,0.000103341
32,9.20298,2.09081,0.01053,0.07368,6.69531,0.000101886,0.000101886,0.000101886
33,9.46344,2.0047,0.02105,0.07368,6.55339,0.00010043,0.00010043,0.00010043
34,9.71691,2.04253,0.02105,0.06316,6.8099,9.89751e-05,9.89751e-05,9.89751e-05
35,9.96748,1.96042,0.01053,0.07368,6.96094,9.75198e-05,9.75198e-05,9.75198e-05
36,10.2321,1.92046,0.01053,0.10526,6.86458,9.60645e-05,9.60645e-05,9.60645e-05
37,10.4775,1.95141,0.01053,0.10526,7.11198,9.46092e-05,9.46092e-05,9.46092e-05
38,10.7466,1.80849,0.02105,0.08421,6.84896,9.31539e-05,9.31539e-05,9.31539e-05
39,11.0075,1.82913,0.02105,0.09474,7.11979,9.16986e-05,9.16986e-05,9.16986e-05
40,11.2849,1.80635,0.01053,0.11579,7.15234,9.02433e-05,9.02433e-05,9.02433e-05
41,11.533,1.75285,0.01053,0.10526,7.23177,8.8788e-05,8.8788e-05,8.8788e-05
42,11.7867,1.72192,0.02105,0.10526,7.3112,8.73327e-05,8.73327e-05,8.73327e-05
43,12.0541,1.69144,0.02105,0.10526,7.36849,8.58774e-05,8.58774e-05,8.58774e-05
44,12.3152,1.75267,0.02105,0.12632,7.39974,8.44221e-05,8.44221e-05,8.44221e-05
45,12.5784,1.6681,0.02105,0.11579,7.3724,8.29668e-05,8.29668e-05,8.29668e-05
46,12.8368,1.59453,0.01053,0.11579,7.32943,8.15115e-05,8.15115e-05,8.15115e-05
47,13.0944,1.56397,0.01053,0.11579,7.4987,8.00562e-05,8.00562e-05,8.00562e-05
48,13.3875,1.57069,0.01053,0.12632,7.54167,7.86009e-05,7.86009e-05,7.86009e-05
49,13.6557,1.56059,0.01053,0.12632,7.39714,7.71456e-05,7.71456e-05,7.71456e-05
50,13.9091,1.58586,0.01053,0.12632,7.59245,7.56903e-05,7.56903e-05,7.56903e-05
51,14.1761,1.51109,0.01053,0.10526,7.65625,7.4235e-05,7.4235e-05,7.4235e-05
52,14.4386,1.47223,0.01053,0.11579,7.61328,7.27797e-05,7.27797e-05,7.27797e-05
53,14.7038,1.51144,0.02105,0.12632,7.70833,7.13244e-05,7.13244e-05,7.13244e-05
54,14.9649,1.46111,0.02105,0.12632,7.53906,6.98691e-05,6.98691e-05,6.98691e-05
55,15.2391,1.4008,0.02105,0.11579,7.65104,6.84138e-05,6.84138e-05,6.84138e-05
56,15.527,1.32991,0.01053,0.12632,7.63542,6.69585e-05,6.69585e-05,6.69585e-05
57,15.7901,1.3883,0.01053,0.12632,7.82161,6.55032e-05,6.55032e-05,6.55032e-05
58,16.0499,1.31743,0.01053,0.12632,7.75651,6.40479e-05,6.40479e-05,6.40479e-05
59,16.3038,1.30753,0.01053,0.11579,7.77474,6.25926e-05,6.25926e-05,6.25926e-05
60,16.5624,1.41559,0.01053,0.12632,8.02995,6.11373e-05,6.11373e-05,6.11373e-05
61,16.8197,1.27466,0.01053,0.11579,7.98568,5.9682e-05,5.9682e-05,5.9682e-05
62,17.0819,1.26842,0.01053,0.08421,7.9974,5.82267e-05,5.82267e-05,5.82267e-05
63,17.3493,1.30575,0.01053,0.12632,7.98958,5.67714e-05,5.67714e-05,5.67714e-05
64,17.6101,1.25587,0.01053,0.10526,7.97266,5.53161e-05,5.53161e-05,5.53161e-05
65,17.8616,1.2636,0.01053,0.11579,8.05729,5.38608e-05,5.38608e-05,5.38608e-05
66,18.123,1.19407,0.01053,0.11579,8.125,5.24055e-05,5.24055e-05,5.24055e-05
67,18.3873,1.14732,0.01053,0.10526,8.0638,5.09502e-05,5.09502e-05,5.09502e-05
68,18.6399,1.15207,0.01053,0.11579,8.07161,4.94949e-05,4.94949e-05,4.94949e-05
69,18.8919,1.24454,0.01053,0.11579,8.21354,4.80396e-05,4.80396e-05,4.80396e-05
70,19.1418,1.14207,0.01053,0.11579,8.26562,4.65843e-05,4.65843e-05,4.65843e-05
71,19.4013,1.16702,0.01053,0.10526,8.21875,4.5129e-05,4.5129e-05,4.5129e-05
72,19.6567,1.18139,0.01053,0.11579,8.1849,4.36737e-05,4.36737e-05,4.36737e-05
73,19.9162,1.19171,0.01053,0.10526,8.08464,4.22184e-05,4.22184e-05,4.22184e-05
74,20.1825,1.14095,0.01053,0.11579,8.125,4.07631e-05,4.07631e-05,4.07631e-05
75,20.433,1.10991,0.01053,0.11579,8.2513,3.93078e-05,3.93078e-05,3.93078e-05
76,20.679,1.11295,0.01053,0.10526,8.26562,3.78525e-05,3.78525e-05,3.78525e-05
77,20.9345,1.13695,0.01053,0.10526,8.29167,3.63972e-05,3.63972e-05,3.63972e-05
78,21.1987,1.03149,0.01053,0.11579,8.33073,3.49419e-05,3.49419e-05,3.49419e-05
79,21.4544,1.13994,0.01053,0.11579,8.35026,3.34866e-05,3.34866e-05,3.34866e-05
80,21.7118,1.15236,0.01053,0.11579,8.42969,3.20313e-05,3.20313e-05,3.20313e-05
81,21.9637,1.14597,0.01053,0.09474,8.40104,3.0576e-05,3.0576e-05,3.0576e-05
82,22.2285,1.07167,0.01053,0.11579,8.33854,2.91207e-05,2.91207e-05,2.91207e-05
83,22.4911,1.02694,0.01053,0.10526,8.35938,2.76654e-05,2.76654e-05,2.76654e-05
84,22.7523,1.07727,0.01053,0.11579,8.51562,2.62101e-05,2.62101e-05,2.62101e-05
85,23.0139,1.13104,0.01053,0.11579,8.52865,2.47548e-05,2.47548e-05,2.47548e-05
86,23.2771,1.0858,0.01053,0.11579,8.46745,2.32995e-05,2.32995e-05,2.32995e-05
87,23.5443,1.02842,0.01053,0.11579,8.51042,2.18442e-05,2.18442e-05,2.18442e-05
88,23.8077,0.93644,0.01053,0.11579,8.48307,2.03889e-05,2.03889e-05,2.03889e-05
89,24.0713,1.05318,0.01053,0.11579,8.50521,1.89336e-05,1.89336e-05,1.89336e-05
90,24.3208,1.01564,0.01053,0.11579,8.48177,1.74783e-05,1.74783e-05,1.74783e-05
91,24.8375,1.06879,0.01053,0.11579,8.40885,1.6023e-05,1.6023e-05,1.6023e-05
92,25.102,1.01533,0.01053,0.10526,8.45312,1.45677e-05,1.45677e-05,1.45677e-05
93,25.35,1.0793,0.01053,0.10526,8.4362,1.31124e-05,1.31124e-05,1.31124e-05
94,25.6091,1.01422,0.01053,0.11579,8.63542,1.16571e-05,1.16571e-05,1.16571e-05
